iso_code,country,year,co2 per capita (metric tons),gdp per capita (USD)
USA,United States,1982,19.0191,14433.79
USA,United States,1983,18.7653,15543.89
USA,United States,1984,19.5668,17121.23
USA,United States,1985,19.3446,18236.83
USA,United States,1986,19.2087,19071.23
USA,United States,1987,19.6915,20038.94
USA,United States,1988,20.4157,21417.01
USA,United States,1989,20.5502,22857.15
USA,United States,1990,20.2818,23888.6
USA,United States,1991,19.8709,23342.26
USA,United States,1992,20.1077,25418.99
USA,United States,1993,20.2955,26387.29
USA,United States,1994,20.4347,27694.85
USA,United States,1995,20.4459,28890.88
USA,United States,1996,20.9089,29967.71
USA,United States,1997,20.9282,31459.14
USA,United States,1998,20.8269,32853.68
USA,United States,1999,20.839,34513.56
USA,United States,2000,21.3357,36334.91
,,,,
